movieName,genre,imdb,director,cast
kaavalan,"action, drama, romance",6.7,siddique,"joseph vijay, asin thottumkal, raj kiran, vadivelu"
velayudham,action,6,mohan raja,"joseph vijay, genelia d'souza, hansika motwani, saranya mohan"
nanban,"comedy, drama",7.4,s. shankar,"joseph vijay, jiiva, srikanth, ileana d'cruz"
thuppakki,"action, thriller",7.9,a.r. murugadoss,"joseph vijay, kajal aggarwal, vidyut jammwal, sathyan"
thalaivaa,"action, drama, thriller",6.1,a.l. vijay,"joseph vijay, amala paul, santhanam, sathyaraj"
jilla,"action, drama",6,r.t. neason,"mohanlal, joseph vijay, kajal aggarwal, sampath raj"
kaththi,"action, drama",7.9,a.r. murugadoss,"joseph vijay, samantha ruth prabhu, neil nitin mukesh, tota roy chowdhury"
puli,"action, adventure, fantasy",4.4,chimbudeven,"joseph vijay, sridevi, sudeep, prabhu"
theri,"action, drama",7.1,atlee kumar,"joseph vijay, samantha ruth prabhu, amy jackson, baby nainika"
bairavaa,"action, thriller",5.9,bharathan,"joseph vijay, keerthy suresh, jagapathi babu, daniel balaji"
mersal,"action, thriller",7.7,atlee kumar,"joseph vijay, s.j. suryah, kajal aggarwal, samantha ruth prabhu"
sarkar,"action, drama",6.8,a.r. murugadoss,"joseph vijay, keerthy suresh, varalaxmi sarathkumar, pala karuppaiah"
bigil,"action, drama, sport",6.8,atlee kumar,"joseph vijay, nayanthara, jackie shroff, vivek"
mugavari,"drama, romance",7.2,v.z. dhorai,"suchindra bali, jyotika, ajith kumar, manivannan"
kandukondain kandukondain,"drama, romance",7.6,rajiv menon,"ajith kumar, tabu, mammootty, aishwarya rai bachchan"
unnai kodu ennai tharuven,romance,4.6,kavee kalidas,"ajith kumar, simran, charlie, chinnijayanth"
dheena,action,7.2,a.r. murugadoss,"ajith kumar, suresh gopi, laila, mahanadhi shankar"
citizen,"action, drama, mystery",7.1,saravana subaiya,"vasundhara das, devan, cochin hanifa, ajith kumar"
poovellam un vaasam,drama,6.3,ezhil,"ajith kumar, jyotika, nagesh, sivakumar"
red,"action, drama",4.3,singampuli,"ajith kumar, priya gill, joy badlani, rajan p. dev"
raja,romance,3.4,ezhil,"ajith kumar, jyotika, priyanka upendra, vadivelu"
villain,"action, drama, thriller",7.1,k.s. ravikumar,"ajith kumar, neha dhupia, meena, tulip joshi"
ennai thalatta varuvala,"action, romance",5.8,k.s. raveendran,"jai ganesh, ajith kumar, raghuvaran, reshma"
anjaneya,"action, crime, drama",3.6,n. maharajan,"ajith kumar, meera jasmine, raghuvaran, adithya menon"
jana,"action, drama",3.3,shaji kailas,"ajith kumar, sneha, delhi ganesh, manoj k. jayan"
attagasam,"action, drama",6.3,saran,"ajith kumar, pooja umashankar, sujatha, mahadevan"
ji,"action, drama",4.5,n. linguswamy,"ajith kumar, trisha krishnan, charan raj, venkat prabhu"
paramasivan,"action, thriller",4.3,p. vasu,"ajith kumar, laila, jayaram, prakash raj"
tirupathi,"action, drama",3.3,perarasu,"ajith kumar, sada, riyaz khan, arun pandyan"
varalaaru,"action, drama",7.1,k.s. ravikumar,"ajith kumar, asin thottumkal, kaniha, vijayan"
aalwar,action,3.1,chella,"ajith kumar, asin thottumkal, vivek, aachi manorama"
kireedam,"action, drama",6.6,a.l. vijay,"ajith kumar, trisha krishnan, raj kiran, vivek"
billa,"action, thriller",7.2,vishnuvardhan,"ajith kumar, nayanthara, rahman, namitha"
aegan,action,4.6,raju sundaram,"ajith kumar, nayanthara, navdeep, piaa bajpai"
asal,action,3.8,saran,"ajith kumar, sameera reddy, bhavana, prabhu"
mankatha,"action, crime, thriller",7.6,venkat prabhu,"ajith kumar, arjun sarja, trisha krishnan, premgi amaren"
billa 2,"action, thriller",6.2,chakri toleti,"ajith kumar, parvathy omanakuttan, bruna abdullah, sudhanshu pandey"
arrambam,"action, drama, mystery",7,vishnuvardhan,"ajith kumar, arya, nayanthara, taapsee pannu"
veeram,action,6.5,siva,"ajith kumar, tamannaah bhatia, vidharth, bala"
yennai arindhaal,"action, thriller",7.3,gautham vasudev menon,"ajith kumar, arun vijay, trisha krishnan, anushka shetty"
vedalam,"action, drama",6.2,siva,"ajith kumar, shruti haasan, lakshmi menon, soori"
veer - vivegam,"action, thriller",5.6,siva,"ajith kumar, vivek oberoi, kajal aggarwal, akshara haasan"
viswasam,"action, drama",6.7,siva,"ajith kumar, nayanthara, sakshi agarwal, darbha appaji ambarisha"
nerkonda paarvai,"action, drama, thriller",8.2,h. vinoth,"ajith kumar, vidya balan, rangaraj pandey, shraddha srinath"
nerukku ner,"action, drama, romance",7.1,vasanth,"joseph vijay, suriya, kousalya, simran"
kaadhale nimmadhi,"drama, romance",5.8,indiran,"geetha, manivannan, murali, nassar"
sandhippoma,"drama, romance",8.2,indrakumar,"ambika, sarath babu, prakash raj, radhika sarathkumar"
periyanna,"action, drama, romance",4.3,s.a. chandrashekhar,"vijayakanth, meena, suriya, aachi manorama"
poovellaam kettuppaar,"comedy, romance",6.4,vasanth,"suriya, jyotika, vijayakumar, nassar"
nandha,"action, drama",7.6,bala,"suriya, laila, raj kiran, rajashri"
unnai ninaithu,drama,6.8,vikraman,"suriya, laila, sneha, ramesh khanna"
shree,"action, drama",7.7,pushpavasagan,"ilavarasu, kalyani, riyaz khan, shrutika"
mounam pesiyadhe,"drama, romance",7.6,ameer sultan,"suriya, trisha krishnan, nandha, anju mahendran"
kaakha..kaakha: the police,"action, crime, drama",8,gautham vasudev menon,"suriya, jyotika, 'university' jeevan, daniel balaji"
pithamagan,"action, drama",8.4,bala,"vikram, suriya, laila, sangeetha"
peralagan,"comedy, drama, romance",6.3,sasi shankar,"suriya, jyotika, vivek, aachi manorama"
ayitha ezhuthu,"action, drama, thriller",7.8,mani ratnam,"suriya, madhavan, siddharth, meera jasmine"
mayaavi,"comedy, drama",4.7,singampuli,"jyotika, roja, sathyan, himani shivpuri"
ghajini,"action, drama, mystery",7.5,a.r. murugadoss,"suriya, asin thottumkal, nayanthara, pradeep singh rawat"
aaru,"action, thriller",5.7,hari,"suriya, trisha krishnan, vadivelu, ashish vidyarthi"
june r,"drama, family",4.9,revathy s. varma,"jyotika, saritha, kushboo, suriya"
sillunu oru kadhal,"drama, romance",6.9,n. krishna,"suriya, jyotika, bhoomika chawla, shriya sharma"
vel,"action, comedy, drama",6,hari,"suriya, asin thottumkal, vadivelu, kalabhavan mani"
vaaranam aayiram,"drama, musical, romance",8,gautham vasudev menon,"suriya, simran, ramya, sameera reddy"
ayan,action,7.4,k.v. anand,"suriya, tamannaah bhatia, prabhu, jagan"
aadhavan,"action, comedy",5.2,k.s. ravikumar,"suriya, nayanthara, vadivelu, saroja devi b."
singam,"action, thriller",6.8,hari,"suriya, anushka shetty, prakash raj, vivek"
rakhta charitra 2,"action, biography, crime",6.4,ram gopal varma,"shatrughan sinha, vivek oberoi, suriya, sudeep"
7 aum arivu,"action, sci-fi, thriller",6.2,a.r. murugadoss,"suriya, shruti haasan, johnny nguyen, abhinaya"
maattrraan,"action, sci-fi, thriller",5.9,k.v. anand,"suriya, kajal aggarwal, sachin khedekar, thara"
singam 2,"action, thriller",6.3,hari,"suriya, anushka shetty, hansika motwani, vivek"
masss,"action, comedy, horror",6,venkat prabhu,"suriya, nayanthara, parthiban, samuthirakani"
pasanga 2,"drama, family",7.5,pandiraj,"suriya, amala paul, nishesh, baby vaishnavi"
24,"action, sci-fi, thriller",7.8,vikram k. kumar,"suriya, samantha ruth prabhu, nithya menon, saranya ponvannan"
singam 3,"action, thriller",6.3,hari,"suriya, anushka shetty, shruti haasan, thakur anoop singh"
thaanaa serndha koottam,"action, comedy, crime",6.8,vignesh shivan,"suriya, keerthy suresh, karthik, ramya krishnan"
ngk,"action, drama",6,k. selvaraghavan,"suriya, sai pallavi, rakul preet singh, ponvannan"
kaappaan,"action, thriller",6.4,k.v. anand,"suriya, mohanlal, chris wilson, boman irani"
moondru mudichu,romance,7.1,k. balachander,"kamal haasan, rajinikanth, sridevi, vijaya y."
mullum malarum,drama,8.3,j. mahendran,"sarath babu, jayalakshmi, shubha, venniradai moorthy"
aarilirindhu aruvathu varai,"biography, drama",8.3,s.p. muthuraman,"jayalakshmi, suruli rajan, rajinikanth, cho ramaswamy"
annai oru aalayam,"adventure, drama",7,r. thyagaraajan,"rajinikanth, sripriya, anjali devi, nagesh"
murattu kaalai,"action, drama",6.7,s.p. muthuraman,"rajinikanth, rati agnihotri, sumalatha, jaishankar"
thillu mullu,comedy,8.6,k. balachander,"rajinikanth, madhavi, thengai srinivasan, showkar janaki"
netri kann,drama,7.1,s.p. muthuraman,"rajinikanth, monica, sarath babu, goundamani"
moondru mugham,"action, drama",7.1,a. jagannathan,"rajinikanth, radhika sarathkumar, silk smitha, delhi ganesh"
paayum puli,action,6.7,s.p. muthuraman,"rajinikanth, radha, aachi manorama, silk smitha"
kai kodukkam kai,"action, drama",6.3,j. mahendran,"chinnijayanth, y.g. mahendran, rajinikanth, revathi"
nallavanukku nallavan,"drama, romance",6.8,s.p. muthuraman,"rajinikanth, radhika sarathkumar, karthik, tulasi"
sree raaghavendar,"biography, drama",7,s.p. muthuraman,"rajinikanth, lakshmi, delhi ganesh, sathyaraj"
mr. bharath,drama,7.1,s.p. muthuraman,"ambika, goundamani, raghuvaran, rajinikanth"
manithan,"crime, drama",6.6,s.p. muthuraman,"delhi ganesh, jai ganesh, raghuvaran, rajinikanth"
mappilai,"action, comedy",6.8,rajasekar,"amala akkineni, s.s. chandran, chiranjeevi, dileep"
adisaya piravi,"action, comedy, fantasy",6.8,s.p. muthuraman,"rajinikanth, chinnijayanth, jai ganesh, bharat gopy"
thalapathi,"action, crime, drama",8.5,mani ratnam,"rajinikanth, mammootty, shobana, arvind swamy"
mannan,"action, comedy, drama",7.2,p. vasu,"goundamani, ennatha kannaiya, kushboo, aachi manorama"
annamalai,"action, drama",7.7,suresh krishna,"rajinikanth, sarath babu, kushboo, radha ravi"
ejamaan,"drama, romance",6.6,r.v. udhaya kumar,"rajinikanth, meena, napolean, aishwarya"
veera,"comedy, romance",6.6,suresh krishna,"rajinikanth, meena, roja, charlie"
baasha,"action, crime, drama",8.2,suresh krishna,"rajinikanth, nagma, raghuvaran, vijayakumar"
muthu,"action, comedy, drama",7.5,k.s. ravikumar,"rajinikanth, meena, sarath babu, senthil"
arunachalam,"action, comedy, drama",7.4,sundar c.,"rajinikanth, soundarya, rambha, jaishankar"
padayappa,"action, comedy, drama",8.1,k.s. ravikumar,"shivaji ganesan, rajinikanth, ramya krishnan, soundarya"
chandramukhi,"action, comedy, fantasy",7.1,p. vasu,"rajinikanth, jyotika, prabhu, nayanthara"
sivaji,"action, drama, thriller",7.5,s. shankar,"rajinikanth, shriya saran, suman, vivek"
kuselan,"comedy, drama, family",4.7,p. vasu,"rajinikanth, pasupathy, meena, nayanthara"
enthiran,"action, sci-fi",7.1,s. shankar,"rajinikanth, aishwarya rai bachchan, danny denzongpa, santhanam"
nayakan,"crime, drama",8.7,mani ratnam,"kamal haasan, saranya ponvannan, delhi ganesh, janakaraj"
mahanadi,"crime, drama",8.5,santhana bharathi,"kamal haasan, sukanya, poornam vishwanathan, mahanadhi shobana"
anbe sivam,"adventure, comedy, drama",8.8,sundar c.,"kamal haasan, madhavan, kiran rathod, nassar"
moondram pirai,"drama, romance",8.6,balu mahendra,"kamal haasan, sridevi, poornam vishwanathan, silk smitha"
pushpaka vimana,"comedy, romance",8.6,singeetam srinivasa rao,"kamal haasan, amala akkineni, tinnu anand, narayana p.l."
apoorva sagodharargal,"action, comedy, drama",8.3,singeetam srinivasa rao,"kamal haasan, nagesh, srividya, gautami"
thevar magan,drama,8.8,bharathan,"kamal haasan, shivaji ganesan, nassar, revathi"
indian,"action, drama, thriller",8.1,s. shankar,"kamal haasan, sukanya, manisha koirala, urmila matondkar"
sagara sangamam,"musical, romance, drama",8.8,k. viswanath,"kamal haasan, jaya prada, sarath babu, sailaja s.p."
sadma,romance,8.4,balu mahendra,"kamal haasan, sridevi, gulshan grover, silk smitha"
guna,"drama, romance",8.2,santhana bharathi,"kamal haasan, roshini, rekha, varalakshmi s."
kuruthipunal,"action, drama, thriller",8.5,p.c. sreeram,"kamal haasan, arjun sarja, nassar, gautami"
michael madana kama rajan,"comedy, musical",8.5,singeetam srinivasa rao,"kamal haasan, kushboo, urvashi, roobini"
vishwaroopam,"action, thriller",8.2,kamal haasan,"pooja kumar, miles anderson, kamal haasan, rahul bose"
virumandi,"action, drama, thriller",8.3,kamal haasan,"kamal haasan, abhirami, pasupathy, napolean"
pathinaru vayathinile,"drama, romance",8,bharathiraja,"kamal haasan, sridevi, rajinikanth, gandhimathi"
papanasam,"drama, thriller",8.4,jeethu joseph,"kamal haasan, gautami, nivetha thomas, esther anil"
hey ram,"crime, drama, history",7.9,kamal haasan,"kamal haasan, shah rukh khan, rani mukerji, hema malini"
sigappu rojakkal,"drama, thriller",7.8,bharathiraja,"kamal haasan, sridevi, bhagyaraj, goundamani"
panchatanthiram,"comedy, drama",8,k.s. ravikumar,"kamal haasan, simran, ramya krishnan, ramesh aravind"
varumayin niram sigappu,drama,8.3,k. balachander,"kamal haasan, sridevi, prathap pothen, dilip"
aakali rajyam,drama,8.1,k. balachander,"kamal haasan, sridevi, ramana murthi j.v., prathap pothen"
avvai shanmugi,"comedy, drama",7.9,k.s. ravikumar,"kamal haasan, meena, gemini ganesan, nassar"
unnaipol oruvan,"crime, drama, mystery",8,chakri toleti,"kamal haasan, mohanlal, lakshmi, anuja iyer"
swathi muthyam,"drama, family, romance",8.3,k. viswanath,"kamal haasan, radhika sarathkumar, allu arjun, sarath babu"
vettaiyaadu vilaiyaadu,"action, crime, thriller",7.9,gautham vasudev menon,"kamal haasan, jyotika, prakash raj, daniel balaji"
unnal mudiyum thambi,"drama, musical",7.9,k. balachander,"kamal haasan, seetha, gemini ganesan, aachi manorama"
sathi leelavathi,"comedy, drama",8.2,balu mahendra,"kamal haasan, ramesh aravind, kovai sarala, kalpana"
dasavatharam,"action, adventure, sci-fi",7.2,k.s. ravikumar,"kamal haasan, asin thottumkal, jaya prada, mallika sherawat"
aalavandhan,"action, thriller",7.1,suresh krishna,"kamal haasan, raveena tandon, manisha koirala, kitu gidwani"
ek duuje ke liye,"drama, musical, romance",7.5,k. balachander,"kamal haasan, rati agnihotri, madhavi, sunil thapa"
maro charithra,"drama, romance",7.4,k. balachander,"kamal haasan, saritha, madhavi, sarath babu"
raaja paarvai,"drama, romance",7.2,singeetam srinivasa rao,"kamal haasan, madhavi, y.g. mahendran, l.v. prasad"
saagar,"drama, romance",7.1,ramesh sippy,"rishi kapoor, kamal haasan, dimple kapadia, nadira"
chachi 420,"comedy, drama, family",7.4,kamal haasan,"kamal haasan, amrish puri, om puri, tabu"
sathyaa,"action, crime, drama",7.8,suresh krishna,"kamal haasan, amala akkineni, bahadur, vadivukkarasi"
vasoolraja m.b.b.s,"comedy, drama",7.9,saran,"kamal haasan, sneha, prabhu, prakash raj"
apoorva raagangal,"drama, romance",7.5,k. balachander,"kamal haasan, srividya, jayasudha, nagesh"
pammal k. sambandam,"comedy, musical",7.1,mouli,"kamal haasan, simran, abbas, sneha"
thenali,"comedy, drama",7.5,k.s. ravikumar,"kamal haasan, jayaram, jyotika, devayani"
kaathala kaathala,"comedy, drama, romance",7.4,singeetam srinivasa rao,"kamal haasan, prabhu deva, soundarya, rambha"
punnagai mannan,"comedy, drama, romance",7.8,k. balachander,"kamal haasan, revathi, rekha, srividya"
thoongaavanam,"action, thriller",7,rajesh m. selva,"kamal haasan, prakash raj, trisha krishnan, kishore kumar g."
uttama villain,"comedy, drama",7.2,ramesh aravind,"kamal haasan, k. balachander, k. viswanath, nassar"
indrudu chandrudu,"comedy, drama",7.2,suresh krishna,"kamal haasan, vijayshanti, charan raj, narayana p.l."
nammavar,drama,7.5,k.s. sethumadhavan,"kamal haasan, gautami, nagesh, karan"
singaaravelan,comedy,7.2,r.v. udhaya kumar,"kamal haasan, kushboo, goundamani, jaishankar"
magalir mattum,"comedy, drama, thriller",7.3,singeetam srinivasa rao,"revathi, urvashi, rohini, nassar"
vikram,"action, adventure, sci-fi",7.2,rajasekar,"kamal haasan, sathyaraj, ambika, santhana bharathi"
guru,"action, crime, drama",6.5,i.v. sasi,"kamal haasan, sridevi, y.g. mahendran, mohan babu"
vishwaroopam 2,"action, thriller",5.9,kamal haasan,"kamal haasan, rahul bose, shekhar kapur, pooja kumar"
thulluvadho ilamai,drama,6.2,k. selvaraghavan,"abhinay, dhanush, gangeshwari, ramesh khanna"
kaadhal konden,"drama, musical, thriller",7.9,k. selvaraghavan,"dhanush, sonia agarwal, sudip, daniel balaji"
thiruda thirudi,"comedy, romance",6.2,subramaniam siva,"dhanush, chaya singh, karunas, manikya vinayakam"
puthukkottaielerenthu saravanan,"action, adventure, romance",3.8,s.s. stanley,"dhanush, peter hein, karunas, mayoori"
sullan,"action, crime, drama",3.2,ramana,"dhanush, manivannan, pasupathy, sanghavi"
dreams,drama,5.7,kasthuri raja,"brahmanandam, dhanush, chandreyi ghosh, niraj"
devathayai kanden,drama,4.3,boopathy pandian,"dhanush, sridevi vijaykumar"
athu oru kanaa kaalam,romance,4.7,balu mahendra,"amarasigamani, dhanush, priyamani"
pudhu pettai,"action, crime, drama",8.5,k. selvaraghavan,"dhanush, sneha, sonia agarwal, azhagam perumal"
thiruvilaiyaadal aarambam,drama,6.3,boopathy pandian,"dhanush, ilavarasu, kannaiyan, karunas"
parattai engira azhagu sundaram,action,2.6,suresh krishna,"archana, dhanush, meera jasmine, nassar"
polladhavan,action,7.6,vetrimaaran,"dhanush, ramya, kishore kumar g., karunas"
yaaradi nee mohini,"drama, romance",7.2,mithran jawahar,"dhanush, nayanthara, karthik kumar, saranya mohan"
kutty,"action, drama, romance",5.1,mithran jawahar,"vincent ashokan, swati bhatia, sammir dattani, dhanush"
uthama puthiran,"comedy, romance",5.6,mithran jawahar,"dhanush, genelia d'souza, vivek, ashish vidyarthi"
aadukalam,"action, drama, sport",8.1,vetrimaaran,"dhanush, taapsee pannu, jayabalan, kishore kumar g."
mappillai,action,3,suraj,"dhanush, hansika motwani, manisha koirala, vivek"
venghai,"action, drama",4.6,hari,"dhanush, tamannaah bhatia, raj kiran, prakash raj"
mayakkam enna,"drama, romance",7.6,k. selvaraghavan,"dhanush, richa langella, sunder ramu, mathivanan rajendran"
3,"drama, mystery, romance",7.2,aishwarya dhanush,"dhanush, shruti haasan, prabhu, bhanupriya"
raanjhanaa,"drama, romance",7.6,aanand l. rai,"dhanush, sonam kapoor, mohammed zeeshan ayyub, swara bhaskar"
maryan,"adventure, drama, romance",7.1,ganapathy bharat,"dhanush, parvathy thiruvothu, salim kumar, appukutty"
naiyaandi,"comedy, romance",2.9,a. sarkunam,"dhanush, nazriya nazim, vamsi krishna, sathyan"
velaiilla pattadhari,"action, comedy, drama",7.8,velraj,"dhanush, saranya ponvannan, amala paul, samuthirakani"
shamitabh,drama,6.8,r. balki,"amitabh bachchan, dhanush, akshara haasan, abhinaya"
anegan,"action, romance, thriller",6.7,k.v. anand,"dhanush, karthik, amyra dastur, aishwarya devan"
maari,"action, comedy, drama",6.2,balaji mohan,"dhanush, kajal aggarwal, vijay yesudas, robo shankar"
thanga magan,"action, drama, romance",6,velraj,"dhanush, samantha ruth prabhu, amy jackson, k.s. ravikumar"
thodari,"action, thriller",4.5,prabu solomon,"dhanush, keerthy suresh, ganesh venkatraman, imman annachi"
kodi,"action, drama, thriller",6.8,r.s. durai senthilkumar,"dhanush, trisha krishnan, anupama parameshwaran, saranya ponvannan"
power paandi,"action, drama, family",7.6,dhanush,"dhanush, dheena, divyadarshini, delhi ganesh"
velaiyilla pattathari 2,"action, comedy",5.4,soundarya r. ashwin,"riaz ahmed, karrthik ahuja, bhai amma, rj ananthi"
the extraordinary journey of the fakir,"adventure, comedy, drama",6.9,ken scott,"dhanush, bérénice bejo, erin moriarty, barkhad abdi"
vada chennai,"action, crime",8.5,vetrimaaran,"dhanush, ameer sultan, radha ravi, daniel balaji"
maari 2,"action, comedy",5.6,balaji mohan,"dhanush, kreshna, sai pallavi, varalaxmi sarathkumar"
asuran,"action, drama",8.6,vetrimaaran,"dhanush, manju warrier, prakash raj, pasupathy"
thoota,"action, drama, romance",5.7,gautham vasudev menon,"dhanush, megha akash, m. sasikumar, senthil veeraasamy"
pattas,"action, drama",5.8,r.s. durai senthilkumar,"dhanush, sneha, mehreen pirzada, naveen chandra"
meera,musical,7.1,p.c. sreeram,"aishwarya, delhi ganesh, janakaraj, venniradai moorthy"
pudhiya mannargal,drama,6.9,vikraman,"mohini, vikram"
house full,thriller,6.8,parthiban,"parthiban, vadivelu, roja, suvalakshmi"
sethu,"action, drama, romance",8.1,bala,"vikram, abitha, sivakumar, sriman"
dhill,"action, drama",7,dharani,"vikram, laila, ashish vidyarthi, nassar"
kasi,drama,7,vinayan,"vikram, kavya madhavan, kaveri, manivannan"
gemini,"action, comedy, crime",6.1,saran,"vikram, kiran rathod, kalabhavan mani, murali"
samurai,"action, drama, musical",6.3,balaji sakthivel,"vikram, jayaseel, nassar, vadivukkarasi"
dhool,"action, drama",7.1,dharani,"vikram, jyotika, reema sen, sayaji shinde"
kadhal sadugudu,"action, drama",5.7,v.z. dhorai,"vikram, priyanka upendra, prakash raj, alphonsa"
saamy,"action, drama",7.3,hari,"vikram, trisha krishnan, srinivasa rao kota, vivek"
arul,action,5.7,hari,"vikram, jyotika, pasupathy, vadivelu"
anniyan,"action, drama, thriller",8.2,s. shankar,"vikram, sada, prakash raj, vivek"
maja,"action, comedy, romance",5.1,shafi,"vikram, asin thottumkal, pasupathy, anu prabhakar"
bheemaa,action,5.7,n. linguswamy,"vikram, trisha krishnan, prakash raj, raghuvaran"
kanthaswamy,action,5,susi ganesan,"vikram, shriya saran, prabhu, ashish vidyarthi"
raavanan,"action, adventure, drama",6.9,mani ratnam,"vikram, aishwarya rai bachchan, prithviraj sukumaran, priyamani"
deiva thirumagal,"drama, family, musical",8.1,a.l. vijay,"vikram, anushka shetty, amala paul, nassar"
rajapattai,"action, comedy",3.1,suseenthiran,"vikram, deeksha seth, k. viswanath, pradeep singh rawat"
thaandavam,"action, thriller",6.1,a.l. vijay,"vikram, jagapathi babu, anushka shetty, amy jackson"
david,"action, crime, drama",6.2,bejoy nambiar,"vikram, neil nitin mukesh, vinay virmani, tabu"
i,"action, drama, thriller",7.3,s. shankar,"vikram, amy jackson, suresh gopi, upen patel"
10,"action, thriller",5.2,vijay milton,"vikram, samantha ruth prabhu, pasupathy, rahul dev"
inkokkadu,"action, sci-fi, thriller",6.2,anand shankar,"vikram, nayanthara, nithya menon, thambi ramaiah"
sketch,action,5.7,vijay chandar,"vikram, tamannaah bhatia, sriman, soori"
saamy 2,action,4.5,hari,"vikram, keerthy suresh, aishwarya rajesh, prabhu"
kadaram kondan,"action, thriller",5.7,rajesh m. selva,"vikram, akshara haasan, abi hassan, lena"
velaikkaran,"action, thriller",7.3,mohan raja,"sivakarthikeyan, fahadh faasil, nayanthara, prakash raj"
ethir neechal,"comedy, romance, sport",6.8,r.s. durai senthilkumar,"sivakarthikeyan, priya anand, nandita shwetha, sharath lohitashwa"
varuthapadatha valibar sangam,"comedy, romance",6.7,ponram,"sivakarthikeyan, sathyaraj, sri divya, soori"
rajini murugan,"action, comedy",5.7,ponram,"sivakarthikeyan, raj kiran, keerthy suresh, soori"
remo,"comedy, romance",5.8,bakkiyaraj kannan,"yogi babu, sri divya, kalyani n., aadukalam naren"
kadhalan,"action, drama, romance",7.2,s. shankar,"prabhu deva, nagma, vadivelu, s.p. balasubrahmanyam"
mudhalvan,"action, drama, thriller",8.3,s. shankar,"arjun sarja, manisha koirala, raghuvaran, vadivelu"
jeans,"comedy, drama, romance",6.5,s. shankar,"prashanth, aishwarya rai bachchan, nassar, senthil"
minsaara kanavu,"comedy, drama, musical",7,rajiv menon,"arvind swamy, prabhu deva, kajol, nassar"
thulladha manamum thullum,"drama, romance",7.7,ezhil,"joseph vijay, simran, dhamu, vaiyapuri"
taj mahal,romance,4.5,bharathiraja,"manoj bharatiraaja, riya sen, radhika sarathkumar, revathi"
kadhal desam,"comedy, drama, romance",6.8,kathir,"abbas, s.p. balasubrahmanyam, chaplin balu, chinnijayanth"
kadhalar dinam,"drama, musical, romance",6.3,kathir,"kunal, sonali bendre, nassar, goundamani"
bombay,"drama, musical, romance",8.1,mani ratnam,"arvind swamy, manisha koirala, nassar, kitty"
dil se..,"drama, romance",7.6,mani ratnam,"shah rukh khan, manisha koirala, preity zinta, raghuvir yadav"
ratchakan,"action, romance",6.4,praveenkanth,"nagarjuna akkineni, sushmita sen, girish karnad, s.p. balasubrahmanyam"
sangamam,"drama, music",6.4,suresh krishna,"rahman, vindhya, manivannan, vijayakumar"
veerapandiya kattabomman,"biography, drama, history",7.5,b. ramakrishnaiah panthulu,"shivaji ganesan, gemini ganesan, padmini, varalakshmi s."
